"id","uri"
4181,http://dbpedia.org/ontology/deathPlace
4156,http://dbpedia.org/ontology/deathYear
8282,http://dbpedia.org/ontology/decommissioningDate
14673,http://dbpedia.org/ontology/Decoration
14674,http://dbpedia.org/ontology/Deity
14675,http://dbpedia.org/ontology/Demographics
8341,http://dbpedia.org/ontology/department
14676,http://dbpedia.org/ontology/Depth
14677,http://dbpedia.org/ontology/Deputy
8249,http://dbpedia.org/ontology/derivative
14678,http://dbpedia.org/ontology/Desert
14303,http://dbpedia.org/ontology/Device
4157,http://dbpedia.org/ontology/diameter
14679,http://dbpedia.org/ontology/DigitalCamera
14680,http://dbpedia.org/ontology/Dike
14221,http://dbpedia.org/ontology/Diocese
14681,http://dbpedia.org/ontology/Diploma
14304,http://dbpedia.org/ontology/Disease
14682,http://dbpedia.org/ontology/DisneyCharacter
4158,http://dbpedia.org/ontology/displacement
8283,http://dbpedia.org/ontology/distanceToCardiff
8284,http://dbpedia.org/ontology/distanceToCharingCross
8285,http://dbpedia.org/ontology/distanceToEdinburgh
8286,http://dbpedia.org/ontology/distanceToLondon
14683,http://dbpedia.org/ontology/District
14684,http://dbpedia.org/ontology/DistrictWaterBoard
14239,http://dbpedia.org/ontology/Document
14685,http://dbpedia.org/ontology/DocumentType
14686,http://dbpedia.org/ontology/Dog
8342,http://dbpedia.org/ontology/drainsTo
14687,http://dbpedia.org/ontology/Drama
4872,http://dbpedia.org/ontology/dressCode
14305,http://dbpedia.org/ontology/Drug
14670,http://dbpedia.org/ontology/DTMRacer
14306,http://dbpedia.org/ontology/Earthquake
14503,http://dbpedia.org/ontology/Economist
14504,http://dbpedia.org/ontology/EducationalInstitution
14688,http://dbpedia.org/ontology/Egyptologist
14307,http://dbpedia.org/ontology/Election
14689,http://dbpedia.org/ontology/ElectionDiagram
8287,http://dbpedia.org/ontology/electionMajority
14690,http://dbpedia.org/ontology/ElectricalSubstation
14222,http://dbpedia.org/ontology/Embryology
14691,http://dbpedia.org/ontology/Employer
14692,http://dbpedia.org/ontology/EmployersOrganisation
14308,http://dbpedia.org/ontology/Engine
14505,http://dbpedia.org/ontology/Engineer
14506,http://dbpedia.org/ontology/Entomologist
14309,http://dbpedia.org/ontology/Enzyme
14693,http://dbpedia.org/ontology/Escalator
14310,http://dbpedia.org/ontology/EthnicGroup
14507,http://dbpedia.org/ontology/Eukaryote
14311,http://dbpedia.org/ontology/EurovisionSongContestEntry
14312,http://dbpedia.org/ontology/Event
14694,http://dbpedia.org/ontology/Factory
4873,http://dbpedia.org/ontology/facultySize
14695,http://dbpedia.org/ontology/Family
14696,http://dbpedia.org/ontology/Farmer
14173,http://dbpedia.org/ontology/Fashion
14508,http://dbpedia.org/ontology/FashionDesigner
14697,http://dbpedia.org/ontology/Fencer
14509,http://dbpedia.org/ontology/Fern
14174,http://dbpedia.org/ontology/FictionalCharacter
14155,http://dbpedia.org/ontology/FieldHockeyLeague
14510,http://dbpedia.org/ontology/FigureSkater
14698,http://dbpedia.org/ontology/File
14699,http://dbpedia.org/ontology/FileSystem
14313,http://dbpedia.org/ontology/Film
